tipo,codigo,nombre,autor,cantidad,fechaLlegada,precio
Cómic,011,X-Men,Chris Claremont,1,2025-10-13,10990.0
Cómic,001,Batman,Bob Kane,2,null,3990.0
Cómic,002,Batman,Bruce Timm,2,null,4990.0
Cómic,003,Spider-Man,Stan Lee,1,null,3590.0
Cómic,004,Spider-Man,Steve Ditko,1,null,3890.0
Cómic,005,Spider-Man,Todd McFarlane,1,null,4290.0
Manga,006,Evangelion,Yoshiyuki Sadamoto,5,null,6900.0
Coleccionable,007,Scorpion Estatuilla,NetherRealm Studios,1,null,19990.0
Novela gráfica,008,V de Vendetta,Alan Moore,1,null,9990.0
Cómic,009,Deadpool,Fabian Nicieza,2,2025-12-25,5990.0
Cómic,010,Deadpool,Rob Liefeld,2,2025-12-25,6990.0
